"Component number","Proportion","Confidence Interval Lower","Confidence Interval Upper","Confidence Level"
"3","0.008","0.00372451541785875","0.0163632064578079","0.95"
"4","0.035","0.0248515005234342","0.0488614347170064","0.95"
"5","0.053","0.0403096011198777","0.0692335510980822","0.95"
"6","0.101","0.0833666569827007","0.121768422825359","0.95"
"7","0.14","0.119402435821111","0.163416634295223","0.95"
"8","0.15","0.128742174484983","0.173996849505422","0.95"
"9","0.166","0.143755038496715","0.190856468321098","0.95"
"10","0.118","0.098989915801046","0.140006501928744","0.95"
"11","0.072","0.0571166976962699","0.0902605132981477","0.95"
"12","0.069","0.0544380841905092","0.0869647993892022","0.95"
"13","0.047","0.0350945980291867","0.0625032083910338","0.95"
"14","0.023","0.0149729353334772","0.0348702021416046","0.95"
"15","0.011","0.00579536156996236","0.0202247477793556","0.95"
"16","0.005","0.00184222211146533","0.012343325193068","0.95"
"17","0.002","0.000346493163272978","0.00803251465238615","0.95"
